"Company","code","market","Shariah","Sector","Market Cap","Last Price","PE","DY","ROE"
"THREE-A RESOURCES BERHAD","12","MAIN","Yes","Food & Beverages ","383.76m",0.78,"11.4","2.31","10.49"
"ASTRAL ASIA BERHAD","7054","MAIN","Yes","Plantation ","99.00m",0.15,"-","0","-2.44"
"AIRASIA X BERHAD","5238","MAIN","Yes","Travel, Leisure & Hospitality ","1.016b",0.25,"40.16","0","2.65"
"ABLEGROUP BERHAD","7086","MAIN","Yes","Building Materials ","22.43m",0.09,"-","0","-1.88"
"ACME HOLDINGS BERHAD","7131","MAIN","Yes","Property ","57.30m",0.24,"15.29","0","5.03"
"ACOUSTECH BERHAD","7120","MAIN","Yes","Household Goods ","75.57m",0.42,"-","0","-8.00"
"ADVANCECON HOLDINGS BERHAD","5281","MAIN","Yes","Construction ","120.62m",0.3,"11.72","3.33","5.69"
"ADVENTA BERHAD","7191","MAIN","Yes","Health Care Equipment & Services ","68.75m",0.45,"36.29","0","2.30"
"ADVANCED PACKAGING TECHNOLOGY (M) BHD","9148","MAIN","Yes","Packaging Materials ","40.39m",1.97,"26.37","5.08","4.73"
"AEON CO. (M) BHD","6599","MAIN","Yes","Retailers ","2.597b",1.85,"30.13","2.16","4.29"
"ABM FUJIYA BERHAD","5198","MAIN","Yes","Auto Parts ","108.00m",0.6,"23.17","0","3.05"
"AHB HOLDINGS BERHAD","7315","MAIN","Yes","Consumer Services ","25.53m",0.15,"20.71","0","3.24"
"APEX HEALTHCARE BERHAD","7090","MAIN","Yes","Pharmaceuticals ","1.036b",8.82,"18.98","1.36","14.89"
"AMALGAMATED INDUSTRIAL STEEL BERHAD","2682","MAIN","Yes","Metals ","37.54m",0.26,"4.01","0","6.33"
"AJINOMOTO (MALAYSIA) BERHAD","2658","MAIN","Yes","Food & Beverages ","1.240b",20.4,"20.83","2.28","13.29"
"AJIYA BERHAD","7609","MAIN","Yes","Building Materials ","175.14m",0.58,"7.32","1.74","6.89"
"ALAM MARITIM RESOURCES BERHAD","5115","MAIN","Yes","Energy Infrastructure, Equipment & Services ","101.69m",0.11,"-","0","-27.66"
"AL-`AQAR HEALTHCARE REIT","5116","MAIN","Yes","Real Estate Investment Trusts ","910.28m",1.25,"10.42","6.16","9.57"
"ALCOM GROUP BERHAD","2674","MAIN","Yes","Metals ","74.55m",0.56,"-","36.94","-"
"AL-SALAM REAL ESTATE INVESTMENT TRUST","5269","MAIN","Yes","Real Estate Investment Trusts ","493.00m",0.85,"-","7.06","0.00"
"ASIA MEDIA GROUP BERHAD","0159","MAIN","Yes","Media ","33.52m",0.14,"-","0","-2.55"
"AMCORP PROPERTIES BERHAD","1007","MAIN","Yes","Property ","335.20m",0.55,"2.80","7.27","12.65"
"AMTEK HOLDINGS BERHAD","7051","MAIN","Yes","Personal Goods ","12.50m",0.25,"-","0","-55.16"
"AMVERTON BERHAD","5959","MAIN","Yes","Property ","354.11m",0.97,"13.96","0","3.93"
"AMWAY (MALAYSIA) HOLDINGS BERHAD","6351","MAIN","Yes","Retailers ","1.085b",6.6,"23.55","4.17","22.78"
"ANALABS RESOURCES BERHAD","7083","MAIN","Yes","Industrial Services ","139.26m",1.16,"15.26","0.86","1.71"
"ANCOM BERHAD","4758","MAIN","Yes","Chemicals ","131.26m",0.55,"5.59","0","6.59"
"ANN JOO RESOURCES BERHAD","6556","MAIN","Yes","Metals ","856.66m",1.53,"4.63","12.42","13.82"
"ANZO HOLDINGS BERHAD","9342","MAIN","Yes","Wood & Wood Products ","44.04m",0.05,"-","0","-"
"APB RESOURCES BERHAD","5568","MAIN","Yes","Industrial Engineering ","92.56m",0.82,"107.89","3.66","0.50"
"APFT BERHAD","5194","MAIN","Yes","Consumer Services ","26.85m",0.02,"-","0","-"
"APM AUTOMOTIVE HOLDINGS BERHAD","5015","MAIN","Yes","Auto Parts ","626.98m",3.11,"18.33","4.18","2.72"
"APOLLO FOOD HOLDINGS BERHAD","6432","MAIN","Yes","Food & Beverages ","335.20m",4.19,"29.16","4.77","4.64"
"A-RANK BERHAD","7214","MAIN","Yes","Metals ","101.08m",0.84,"7.25","3.87","11.14"
"ARK RESOURCES BERHAD","7007","MAIN","Yes","Property ","19.47m",0.4,"129.03","0","0.86"
"ADVANCE SYNERGY BERHAD","1481","MAIN","Yes","Travel, Leisure & Hospitality ","120.80m",0.13,"-","1.92","-0.75"
"ASIA BRANDS BERHAD","7722","MAIN","Yes","Personal Goods ","68.63m",0.59,"-","0","-11.28"
"ASIA FILE CORPORATION BHD","7129","MAIN","Yes","Consumer Services ","486.90m",2.5,"9.20","6","8.93"
"ASIAN PAC HOLDINGS BERHAD","4057","MAIN","Yes","Property ","124.46m",0.12,"2.75","0","4.50"
"ASTINO BERHAD","7162","MAIN","Yes","Building Materials ","200.11m",0.73,"6.94","2.74","7.97"
"ATA IMS BERHAD","8176","MAIN","Yes","Chemicals ","1.950b",1.7,"40.09","0","10.87"
"ATTA GLOBAL GROUP BERHAD","7099","MAIN","Yes","Metals ","155.72m",0.73,"5.48","9.59","8.28"
"ATURMAJU RESOURCES BERHAD","7181","MAIN","Yes","Wood & Wood Products ","21.84m",0.33,"-","0","-22.89"
"AVILLION BERHAD","8885","MAIN","Yes","Travel, Leisure & Hospitality ","218.93m",0.26,"-","0","-4.89"
"AWC BERHAD","7579","MAIN","Yes","Industrial Services ","238.00m",0.84,"11.13","2.4","12.48"
"AXIATA GROUP BERHAD","6888","MAIN","Yes","Telecommunications Service Providers ","31.839b",3.51,"-","2.42","-16.02"
"AXIS REAL ESTATE INVESTMENT TRUST","5106","MAIN","Yes","Real Estate Investment Trusts ","1.848b",1.5,"13.99","5.51","8.16"
"AYER HOLDINGS BERHAD","2305","MAIN","Yes","Property ","344.32m",4.6,"26.41","1.09","2.59"
"AYS VENTURES BERHAD","5021","MAIN","Yes","Building Materials ","135.05m",0.36,"5.66","7.04","8.96"
"AHMAD ZAKI RESOURCES BERHAD","7078","MAIN","Yes","Construction ","186.07m",0.35,"8.97","2.86","4.43"
"BARAKAH OFFSHORE PETROLEUM BERHAD","7251","MAIN","Yes","Energy Infrastructure, Equipment & Services ","58.51m",0.07,"-","0","-101.49"
"BERMAZ AUTO BERHAD","5248","MAIN","Yes","Automotive ","2.511b",2.16,"14.75","4.81","35.79"
"BINA DARULAMAN BERHAD","6173","MAIN","Yes","Property ","106.35m",0.35,"-","0","-5.80"
"BENALEC HOLDINGS BERHAD","5190","MAIN","Yes","Construction ","172.36m",0.2,"-","2","-0.03"
"BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD","8133","MAIN","Yes","Transportation Equipment ","327.96m",1.32,"-","3.79","-1.22"
"B.I.G. INDUSTRIES BERHAD","7005","MAIN","Yes","Diversified Industrials ","14.43m",0.3,"-","0","-14.45"
