companyname,ticker
7-ELEVEN MALAYSIA HOLDINGS BERHAD,KLSE:SEM
A & M REALTY BERHAD,KLSE:A&M
A-RANK BERHAD,KLSE:ARANK
ABLEGROUP BERHAD,KLSE:ABLEGRP
ABM FUJIYA BERHAD,KLSE:AFUJIYA
ACME HOLDINGS BERHAD,KLSE:ACME
ACOUSTECH BERHAD,KLSE:ACOSTEC
ADVANCE SYNERGY BERHAD,KLSE:ASB
ADVANCED PACKAGING TECHNOLOGY (M) BHD,KLSE:ADVPKG
ADVENTA BERHAD,KLSE:ADVENTA
AE MULTI HOLDINGS BERHAD,KLSE:AEM
AEON CO. (M) BHD,KLSE:AEON
AEON CREDIT SERVICE (M) BERHAD,KLSE:AEONCR
AFFIN HOLDINGS BERHAD,KLSE:AFFIN
AHB HOLDINGS BERHAD,KLSE:AMBANK
AHMAD ZAKI RESOURCES BERHAD,KLSE:AZRB
AIRASIA BERHAD,KLSE:AIRASIA
AIRASIA X BERHAD,KLSE:AAX
AJINOMOTO (MALAYSIA) BERHAD,KLSE:AJI
AJIYA BERHAD,KLSE:AJIYA
AL-`AQAR HEALTHCARE REIT,KLSE:5116
AL-SALAM REAL ESTATE INVESTMENT TRUST,KLSE:5269
ALAM MARITIM RESOURCES BERHAD,KLSE:ALAM
ALLIANCE FINANCIAL GROUP BERHAD,KLSE:AFG
ALLIANZ MALAYSIA BERHAD,KLSE:ALLIANZ
ALUMINIUM COMPANY OF MALAYSIA BERHAD,KLSE:ALCOM
AMALGAMATED INDUSTRIAL STEEL BERHAD,KLSE:AISB
AMANAH HARTA TANAH PNB,KLSE:4952
AMANAHRAYA REAL ESTATE INVESTMENT TRUST,KLSE:5127
AMCORP PROPERTIES BERHAD,KLSE:AMPROP
AMFIRST REAL ESTATE INVESTMENT TRUST,KLSE:5176
AMMB HOLDINGS BERHAD,KLSE:AMBANK
AMTEK HOLDINGS BERHAD,KLSE:AMTEK
AMTEL HOLDINGS BERHAD,KLSE:AMTEL
AMWAY (MALAYSIA) HOLDINGS BERHAD,KLSE:AMWAY
ANALABS RESOURCES BERHAD,KLSE:ANNJOO
ANCOM BERHAD,KLSE:ANCOM
ANN JOO RESOURCES BERHAD,KLSE:ANNJOO
ANZO HOLDINGS BERHAD,KLSE:ANZO
APB RESOURCES BERHAD,KLSE:APB
APEX EQUITY HOLDINGS BERHAD,KLSE:APEX
APEX HEALTHCARE BERHAD,KLSE:AHEALTH
APFT BERHAD,KLSE:APFT
APM AUTOMOTIVE HOLDINGS BERHAD,KLSE:APM
APOLLO FOOD HOLDINGS BERHAD,KLSE:APOLLO
ARK RESOURCES BERHAD,KLSE:ARK
ASIA BRANDS BERHAD,KLSE:ASIABRN
ASIA FILE CORPORATION BHD,KLSE:ASIAFLE
ASIA KNIGHT BERHAD,KLSE:AKNIGHT
ASIA MEDIA GROUP BERHAD,KLSE:AMEDIA
ASIAMET EDUCATION GROUP BERHAD,KLSE:AEGB
ASIAN PAC HOLDINGS BERHAD,KLSE:ASIAPAC
ASTINO BERHAD,KLSE:ASTINO
ASTRAL ASIA BERHAD,KLSE:AASIA
ASTRO MALAYSIA HOLDINGS BERHAD,KLSE:ASTRO
ATLAN HOLDINGS BHD.,KLSE:ATLAN
ATRIUM REAL ESTATE INVESTMENT TRUST,KLSE:5130
ATTA GLOBAL GROUP BERHAD,KLSE:ATTA
ATURMAJU RESOURCES BERHAD,KLSE:ATURMJU
AWC BERHAD,KLSE:AWC
AXIATA GROUP BERHAD,KLSE:AXIATA
AXIS REAL ESTATE INVESTMENT TRUST,KLSE:5106
AYS VENTURES BERHAD,KLSE:AYS
B.I.G. INDUSTRIES BERHAD,KLSE:BIG
BARAKAH OFFSHORE PETROLEUM BERHAD,KLSE:BARAKAH
BATU KAWAN BERHAD,KLSE:BKAWAN
BCB BERHAD,KLSE:BCB
BENALEC HOLDINGS BERHAD,KLSE:BENALEC
BERJAYA ASSETS BERHAD,KLSE:BJASSET
BERJAYA CORPORATION BERHAD,KLSE:BJCORP
BERJAYA FOOD BERHAD,KLSE:BJCORP
BERJAYA LAND BERHAD,KLSE:BJLAND
BERJAYA MEDIA BERHAD,KLSE:BJMEDIA
BERJAYA SPORTS TOTO BERHAD,KLSE:BJTOTO
BERMAZ AUTO BERHAD,KLSE:BAUTO
BERTAM ALLIANCE BERHAD,KLSE:BERTAM
BHS INDUSTRIES BERHAD,KLSE:BHS
BIMB HOLDINGS BERHAD,KLSE:BIMB
BINA DARULAMAN BERHAD,KLSE:BDB
BINA PURI HOLDINGS BHD,KLSE:BPURI
BINTAI KINDEN CORPORATION BERHAD,KLSE:BINTAI
BINTULU PORT HOLDINGS BERHAD,KLSE:BIPORT
BIO OSMO BERHAD,KLSE:BIOOSMO
BISON CONSOLIDATED BERHAD,KLSE:BISON
BLD PLANTATION BHD.,KLSE:BLDPLNT
BOILERMECH HOLDINGS BERHAD,KLSE:BOILERM
BONIA CORPORATION BERHAD,KLSE:BONIA
BOON KOON GROUP BERHAD,KLSE:BKOON
BORNEO OIL BERHAD,KLSE:BORNOIL
BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,KLSE:BHIC
BOUSTEAD HOLDINGS BERHAD,KLSE:BSTEAD
BOUSTEAD PLANTATIONS BERHAD,KLSE:BPLANT
BOX-PAK (MALAYSIA) BERHAD,KLSE:BOXPAK
BP PLASTICS HOLDING BHD,KLSE:BPPLAS
BRAHIM'S HOLDINGS BERHAD,KLSE:BRAHIMS
BREM HOLDING BERHAD,KLSE:BREM
BRIGHT PACKAGING INDUSTRY BERHAD,KLSE:BRIGHT
BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,KLSE:BAT
BSL CORPORATION BERHAD,KLSE:BSLCORP
BTM RESOURCES BERHAD,KLSE:BTM
BUMI ARMADA BERHAD,KLSE:ARMADA
BURSA MALAYSIA BERHAD,KLSE:BURSA
C.I. HOLDINGS BERHAD,KLSE:CIHLDG
CAB CAKARAN CORPORATION BERHAD,KLSE:CAB
CAELY HOLDINGS BHD,KLSE:CAELY
CAHYA MATA SARAWAK BERHAD,KLSE:CMSB
CAM RESOURCES BERHAD,KLSE:CAMRES
CAN-ONE BERHAD,KLSE:CANONE
CAPITALAND MALAYSIA MALL TRUST,KLSE:5180
CARIMIN PETROLEUM BERHAD,KLSE:CARIMIN
CARING PHARMACY GROUP BERHAD,KLSE:CARING
CARLSBERG BREWERY MALAYSIA BERHAD,KLSE:CARLSBG
CB INDUSTRIAL PRODUCT HOLDING BERHAD,KLSE:CBIP
CCK CONSOLIDATED HOLDINGS BERHAD,KLSE:CCK
CCM DUOPHARMA BIOTECH BERHAD,KLSE:CCMDBIO
CENSOF HOLDINGS BERHAD,KLSE:CENSOF
CENTRAL INDUSTRIAL CORPORATION BERHAD,KLSE:CICB
CENTURY LOGISTICS HOLDINGS BERHAD,KLSE:CENTURY
CEPATWAWASAN GROUP BERHAD,KLSE:CEPAT
CHEE WAH CORPORATION BERHAD,KLSE:CHEEWAH
CHEETAH HOLDINGS BERHAD,KLSE:CHEETAH
CHEMICAL COMPANY OF MALAYSIA BERHAD,KLSE:CCM
CHIN HIN GROUP BERHAD,KLSE:CHINHIN
CHIN TECK PLANTATIONS BERHAD,KLSE:CHINTEK
CHIN WELL HOLDINGS BERHAD,KLSE:CHINWEL
CHINA AUTOMOBILE PARTS HOLDINGS LIMITED,KLSE:CAP
CHINA OUHUA WINERY HOLDINGS LIMITED,KLSE:CNOUHUA
CHINA STATIONERY LIMITED,KLSE:CSL
CHOO BEE METAL INDUSTRIES BHD,KLSE:CHOOBEE
CHUAN HUAT RESOURCES BHD,KLSE:SKPRES
CIMB GROUP HOLDINGS BERHAD,KLSE:CIMB
CLASSIC SCENIC BERHAD,KLSE:CSCENIC
CLIQ ENERGY BERHAD,KLSE:CLIQ
CME GROUP BERHAD,KLSE:CME
CN ASIA CORPORATION BHD,KLSE:CNASIA
CNI HOLDINGS BERHAD,KLSE:CNI
COASTAL CONTRACTS BHD,KLSE:COASTAL
COCOALAND HOLDINGS BERHAD,KLSE:COCOLND
COMFORT GLOVES BERHAD,KLSE:COMFORT
COMINTEL CORPORATION BHD,KLSE:COMCORP
COMPLETE LOGISTIC SERVICES BERHAD,KLSE:COMPLET
COMPUGATES HOLDINGS BERHAD,KLSE:COMPUGT
COMPUTER FORMS (MALAYSIA) BERHAD,KLSE:CFM
CONCRETE ENGINEERING PRODUCTS BERHAD,KLSE:CEPCO
COUNTRY HEIGHTS HOLDINGS BHD,KLSE:CHHB
COUNTRY VIEW BERHAD,KLSE:CVIEW
CRESCENDO CORPORATION BERHAD,KLSE:CRESNDO
CREST BUILDER HOLDINGS BERHAD,KLSE:CRESBLD
CSC STEEL HOLDINGS BERHAD,KLSE:CSCSTEL
CUSCAPI BERHAD,KLSE:CUSCAPI
CYCLE & CARRIAGE BINTANG BERHAD,KLSE:CCB
CYL CORPORATION BERHAD,KLSE:CYL
CYMAO HOLDINGS BERHAD,KLSE:CYMAO
CYPARK RESOURCES BERHAD,KLSE:CYPARK
D&O GREEN TECHNOLOGIES BERHAD,KLSE:D&O
D.B.E. GURNEY RESOURCES BERHAD,KLSE:DBE
DAGANG NEXCHANGE BERHAD,KLSE:DNEX
DAIBOCHI PLASTIC AND PACKAGING INDUSTRY BERHAD,KLSE:DAIBOCI
DAIMAN DEVELOPMENT BHD,KLSE:DAIMAN
DAMANSARA REALTY BHD,KLSE:DBHD
DANCOMECH HOLDINGS BERHAD,KLSE:DANCO
DATAPREP HOLDINGS BHD,KLSE:DATAPRP
DATASONIC GROUP BERHAD,KLSE:DSONIC
DAYA MATERIALS BERHAD,KLSE:DAYA
DAYANG ENTERPRISE HOLDINGS BERHAD,KLSE:DAYANG
DEGEM BERHAD,KLSE:DEGEM
DELEUM BERHAD,KLSE:DELEUM
DENKO INDUSTRIAL CORPORATION BERHAD,KLSE:DENKO
DESTINI BERHAD,KLSE:DESTINI
DIALOG GROUP BERHAD,KLSE:DIALOG
DIGI.COM BERHAD,KLSE:DIGI
DIGISTAR CORPORATION BERHAD,KLSE:DIGISTA
DKLS INDUSTRIES BHD,KLSE:DLADY
DKSH HOLDINGS (MALAYSIA) BERHAD,KLSE:DKSH
D'NONCE TECHNOLOGY BHD,KLSE:DNONCE
DOLOMITE CORPORATION BERHAD,KLSE:DOLMITE
DOLPHIN INTERNATIONAL BERHAD,KLSE:DOLPHIN
DOMINANT ENTERPRISE BERHAD,KLSE:DOMINAN
DPS RESOURCES BERHAD,KLSE:DPS
DRB-HICOM BERHAD,KLSE:DRBHCOM
DUFU TECHNOLOGY CORP. BERHAD,KLSE:DUFU
DUTALAND BERHAD,KLSE:DUTALND
DUTCH LADY MILK INDUSTRIES BERHAD,KLSE:DLADY
E.A.TECHNIQUE (M) BERHAD,KLSE:EATECH
EASTERN & ORIENTAL BERHAD,KLSE:E&O
EASTLAND EQUITY BHD,KLSE:EASTLND
ECM LIBRA FINANCIAL GROUP BERHAD,KLSE:ECM
ECO WORLD DEVELOPMENT GROUP BERHAD,KLSE:ECOWLD
ECO WORLD INTERNATIONAL BERHAD,KLSE:EWINT
ECOFIRST CONSOLIDATED BHD,KLSE:ECOFIRS
ECONPILE HOLDINGS BERHAD,KLSE:ECONBHD
ECS ICT BERHAD,KLSE:ECS
EDARAN BERHAD,KLSE:EDARAN
EDEN INC. BERHAD,KLSE:EDEN
EFFICIENT E-SOLUTIONS BERHAD,KLSE:EFFICEN
EG INDUSTRIES BERHAD,KLSE:EG
EITA RESOURCES BERHAD,KLSE:EITA
EKA NOODLES BERHAD,KLSE:EKA
EKOVEST BERHAD,KLSE:EKOVEST
EKOWOOD INTERNATIONAL BERHAD,KLSE:EKOWOOD
E.A.TECHNIQUE (M) BERHAD,KLSE:EATECH
ELK-DESA RESOURCES BERHAD,KLSE:ELKDESA
ELSOFT RESEARCH BERHAD,KLSE:ELSOFT
EKOWOOD INTERNATIONAL BERHAD,KLSE:EKOWOOD
ENCORP BERHAD,KLSE:ENCORP
ENG KAH CORPORATION BERHAD,KLSE:ENGKAH
E.A.TECHNIQUE (M) BERHAD,KLSE:EATECH
ENRA GROUP BERHAD,KLSE:ENRA
EKOWOOD INTERNATIONAL BERHAD,KLSE:EKOWOOD
EP MANUFACTURING BHD,KLSE:EPMB
ESTHETICS INTERNATIONAL GROUP BERHAD,KLSE:EIG
